# rounds;# its;best ilp;#unique cols;mipgap;ilp runtime;total runtime;;
1000;1000;4754.248086;5435;17.7;300.0094521;305.711556;;1770
1000;1000;4906.708092;5524;19.8;300.0139401;305.5858655;;1980
1000;1000;4918.991335;5554;19.9;300.0139611;305.5711549;;1990
1000;1000;4871.423662;5525;18.1;300.0131829;305.6314418;;1810
1000;1000;4822.400216;5399;16.6;300.0127051;305.5812608;;1660
1000;10000;4429.713072;5739;19.4;300.0128942;313.6241623;;1940
1000;10000;4268.580778;5898;16.5;300.0132282;313.2405693;;1650
1000;10000;4372.722429;5763;18.7;300.04861;313.5578716;;1870
1000;10000;4366.488676;5985;18.8;300.0138619;313.9955801;;1880
1000;10000;4373.629345;5833;18.6;300.014219;313.1209882;;1860
1000;50000;4120.461696;6724;16.1;300.0223639;345.7855011;;1610
1000;50000;4157.384775;6610;17;300.018261;345.5590941;;1700
1000;50000;4166.355044;6749;16.9;300.013751;345.5780369;;1690
1000;50000;4166.256022;6648;17.2;300.0150611;345.569097;;1720
1000;50000;4118.748718;6524;16.2;300.011502;345.4383658;;1620
1000;100000;4083.384191;6785;16.2;300.0134079;383.6496854;;1620
1000;100000;4072.585948;6874;16;300.0168221;385.2174182;;1600
1000;100000;4129.848099;6768;17.1;300.0153801;385.9087551;;1710
1000;100000;4056.999534;6737;15.5;300.0222378;384.7117361;;1550
1000;100000;4062.400786;6765;15.9;300.0597951;386.4842076;;1590
1000;500000;3915.809923;6934;13.2;300.0167849;686.8555127;;1320
1000;500000;4065.605326;6676;16.6;300.0164669;690.362211;;1660
1000;500000;4017.16576;6747;15.6;300.0147941;701.9279565;;1560
1000;500000;3866.323212;6799;12;300.0134299;691.3567217;;1200
1000;500000;3860.112308;6728;12.3;300.0160851;694.9554541;;1230
2000;1000;4766.414016;10239;20.4;300.018527;315.0231291;;2040
2000;1000;4713.358552;10235;19.6;300.0189199;312.8046886;;1960
2000;1000;4613.880704;10521;17.8;300.0164161;312.7781175;;1780
2000;1000;4575.60211;10376;16.9;300.0099831;312.7542822;;1690
2000;1000;4663.544309;10175;19;300.0258522;312.7942575;;1900
2000;10000;4158.5344;11973;16.2;300.0173318;328.443294;;1620
2000;10000;4157.213495;11938;16.1;300.0208201;335.6229717;;1610
2000;10000;4332.498463;12203;19.1;300.0317988;328.526395;;1910
2000;10000;4101.260552;11824;14.4;300.0164928;328.9724932;;1440
2000;10000;4196.175602;12121;16.8;300.017657;328.8717151;;1680
2000;50000;4043.907232;13531;15.8;300.0227101;401.5660125;;1580
2000;50000;4076.106121;13728;16.7;300.0210211;399.0831113;;1670
2000;50000;4048.184089;13764;16;300.0237401;395.6831577;;1600
2000;50000;4094.375615;13362;16.6;300.017206;395.95373;;1660
2000;50000;4080.601304;13806;16.9;300.0204139;397.7918605;;1690
2000;100000;3891.016484;13913;13.1;300.020437;478.3089717;;1310
2000;100000;3864.428682;14065;12.4;300.0387089;484.4288349;;1240
2000;100000;4077.656561;13914;17.2;300.027914;483.6329117;;1720
2000;100000;3859.716037;13849;12.6;300.028209;483.4694969;;1260
2000;100000;3875.310807;13735;12.5;300.030515;478.0372924;;1250
2000;500000;3798.076093;13762;11.9;300.0341799;1111.595825;;1190
2000;500000;3856.39025;13908;13.2;300.0194092;1123.632562;;1320
2000;500000;3841.359706;13634;12.9;300.057019;1111.518671;;1290
2000;500000;3857.37834;13626;13;300.024035;1095.664446;;1300
2000;500000;3848.995407;13625;13;300.0388889;1096.343603;;1300
5000;1000;4668.514458;24644;20.9;300.021322;346.1517126;;2090
5000;1000;4503.837907;24704;18.7;300.027529;345.9919744;;1870
5000;1000;4633.868326;24854;21;300.0306189;352.142956;;2100
5000;1000;4456.794941;24605;17.8;300.0306139;345.2507404;;1780
5000;1000;4521.765648;24556;18.7;300.0198581;344.8319451;;1870
5000;10000;4043.662072;29724;15;300.0316019;391.3620806;;1500
5000;10000;4181.593921;29817;17.5;300.0250242;390.2665661;;1750
5000;10000;4097.235411;29928;16.2;300.187794;391.9224364;;1620
5000;10000;4057.987299;29719;15.2;300.048764;391.1400617;;1520
5000;10000;4131.682535;30305;16.7;300.0388942;391.8799865;;1670
5000;50000;3932.483579;34508;14.8;300.064002;566.191841;;1480
5000;50000;3846.203046;34423;13;300.036773;572.7319507;;1300
5000;50000;4004.949713;36479;16.1;300.0620811;573.6595632;;1610
5000;50000;3838.816474;34567;12.4;300.0433109;569.9608341;;1240
5000;50000;4018.841715;34451;16.4;300.038609;565.9212509;;1640
5000;100000;3817.990119;34908;12.4;300.0541689;777.9611794;;1240
5000;100000;3844.454264;34440;13.3;300.052438;771.8148522;;1330
5000;100000;3813.198115;35053;12.6;300.0413849;773.510897;;1260
5000;100000;3907.430066;35139;14.7;300.0539072;774.4971645;;1470
5000;100000;3808.953998;34552;12.2;300.050755;779.4110302;;1220
5000;500000;3734.089681;33757;11.4;300.047631;2297.170204;;1140
5000;500000;3846.847049;34131;13.9;300.0628121;2340.630471;;
